Concentration,Time_min,RFU_Interpolated,Concentration [μM]
5.0 ug/mL,8.14,3130134.09971,5.0
5.0 ug/mL,8.16,3130134.09971,5.0
5.0 ug/mL,8.18,3130134.09971,5.0
5.0 ug/mL,8.2,3130134.09971,5.0
5.0 ug/mL,8.22,3130134.09971,5.0
5.0 ug/mL,8.24,3130134.09971,5.0
5.0 ug/mL,8.26,3130134.09971,5.0
5.0 ug/mL,8.28,3130134.09971,5.0
5.0 ug/mL,8.3,3130134.09971,5.0
5.0 ug/mL,8.32,3130134.09971,5.0
5.0 ug/mL,8.34,3130134.09971,5.0
5.0 ug/mL,8.36,3130134.09971,5.0
5.0 ug/mL,8.38,3130134.09971,5.0
5.0 ug/mL,8.4,3130134.09971,5.0
5.0 ug/mL,8.42,3130134.09971,5.0
5.0 ug/mL,8.44,3130134.09971,5.0
5.0 ug/mL,8.46,3130134.09971,5.0
5.0 ug/mL,8.48,3130134.09971,5.0
5.0 ug/mL,8.5,3130134.09971,5.0
5.0 ug/mL,8.52,3130134.09971,5.0
5.0 ug/mL,8.540000000000001,3130134.09971,5.0
5.0 ug/mL,8.56,3130134.09971,5.0
5.0 ug/mL,8.58,3130134.09971,5.0
5.0 ug/mL,8.6,3130134.09971,5.0
5.0 ug/mL,8.620000000000001,3130134.09971,5.0
5.0 ug/mL,8.64,3130134.09971,5.0
5.0 ug/mL,8.66,3130134.09971,5.0
5.0 ug/mL,8.68,3130134.09971,5.0
5.0 ug/mL,8.700000000000001,3130134.09971,5.0
5.0 ug/mL,8.72,3130134.09971,5.0
5.0 ug/mL,8.74,3130134.09971,5.0
5.0 ug/mL,8.76,3130134.09971,5.0
5.0 ug/mL,8.78,3130134.09971,5.0
5.0 ug/mL,8.8,3130134.09971,5.0
5.0 ug/mL,8.82,3130134.09971,5.0
5.0 ug/mL,8.84,3130134.09971,5.0
5.0 ug/mL,8.86,3130134.09971,5.0
5.0 ug/mL,8.88,3130134.09971,5.0
5.0 ug/mL,8.9,3130134.09971,5.0
5.0 ug/mL,8.92,3130134.09971,5.0
5.0 ug/mL,8.94,3130134.09971,5.0
5.0 ug/mL,8.96,3130134.09971,5.0
5.0 ug/mL,8.98,3130134.09971,5.0
5.0 ug/mL,9.0,3130134.09971,5.0
5.0 ug/mL,9.02,3130134.09971,5.0
5.0 ug/mL,9.040000000000001,3130134.09971,5.0
5.0 ug/mL,9.06,3130134.09971,5.0
5.0 ug/mL,9.08,3130134.09971,5.0
5.0 ug/mL,9.1,3130134.09971,5.0
5.0 ug/mL,9.120000000000001,3130134.09971,5.0
5.0 ug/mL,9.14,3130134.09971,5.0
5.0 ug/mL,9.16,3130134.09971,5.0
5.0 ug/mL,9.18,3130134.09971,5.0
5.0 ug/mL,9.200000000000001,3130134.09971,5.0
5.0 ug/mL,9.22,3130134.09971,5.0
5.0 ug/mL,9.24,3130134.09971,5.0
5.0 ug/mL,9.26,3130134.09971,5.0
5.0 ug/mL,9.28,3130134.09971,5.0
5.0 ug/mL,9.3,3130134.09971,5.0
5.0 ug/mL,9.32,3130134.09971,5.0
5.0 ug/mL,9.34,3130134.09971,5.0
5.0 ug/mL,9.36,3130134.09971,5.0
5.0 ug/mL,9.38,3130134.09971,5.0
5.0 ug/mL,9.4,3130134.09971,5.0
5.0 ug/mL,9.42,3130134.09971,5.0
5.0 ug/mL,9.44,3130134.09971,5.0
5.0 ug/mL,9.46,3130134.09971,5.0
5.0 ug/mL,9.48,3130134.09971,5.0
5.0 ug/mL,9.5,3130134.09971,5.0
5.0 ug/mL,9.52,3130134.09971,5.0
5.0 ug/mL,9.540000000000001,3130134.09971,5.0
